model,species_id,keystoneness
residualmlp,51,0.025813735219741337
residualmlp,8,0.025802165576036432
residualmlp,91,0.02579297190779577
residualmlp,65,0.025771952106367835
residualmlp,46,0.025757206380963567
residualmlp,67,0.025752337810397936
residualmlp,68,0.02574474878486857
residualmlp,28,0.025705966424146763
residualmlp,15,0.025667670887389527
residualmlp,2,0.02563470805955578
residualmlp,1,0.02561965715830661
residualmlp,39,0.025593220202266134
residualmlp,47,0.02557755865659943
residualmlp,53,0.02556232766126881
residualmlp,5,0.025536327041913096
residualmlp,17,0.02547706416911767
residualmlp,20,0.025463269288696213
residualmlp,94,0.02542832260480917
residualmlp,54,0.02532134779332529
residualmlp,36,0.025311368595829012
residualmlp,55,0.02509252404578468
